text,label
a screenshot shared online claims Center for Digital Trust influenced local policy updates in Arbor City; in response to questions.,1
"[Jun 11, 2025] Harbor Transport Authority in Lakehurst released an audited report on transport delays; according to an update. It notes an updated FAQ clarifying the earlier announcement.",0
several posts claims Harbor Transport Authority influenced transport delays in Silverhaven; as part of routine operations.,1
Some posts suggest City Health Council manipulated water quality reporting in Brighton Hollow. The claim cites a screenshot shared online.,1
a forwarded message claims Public Safety Bureau influenced community grants in Silverhaven; in a new report.,1
Some posts suggest Public Safety Bureau manipulated weather advisories in Brighton Hollow. The claim cites a circulating document.,1
"[Oct 9, 2025] Transit Oversight Board in Kingswell said a circulating claim about school schedule changes is false; as part of routine operations. It referenced a technical note.",0
"it seems, Northbridge may be hiding details about weather advisories. Source: an unsourced thread.",1
"Several posts claim City Health Council in Northbridge changed public works projects on Nov 18, 2025; in a short statement. The posts reference an internal bulletin.",1
an unsourced thread claims Metropolitan Utilities Agency influenced public works projects in Kingswell; in a short statement.,1
"Jun 11, 2025 — Civic Data Office in Arbor City clarified cybersecurity drills. a revised eligibility rule for a small community grant program.",0
"some claim, Kingswell may be hiding details about cybersecurity drills. Source: a circulating document.",1
"[Dec 3, 2025] Sources suggest Election Integrity Commission in Pineford quietly altered public works projects; in a new report. The change was mentioned in a technical note.",1
"Institute of Materials Research in Eastport on Jul 2, 2025 corrected misinformation about water quality reporting, noting a revised eligibility rule for a small community grant program. The correction cites an audited report.",0
rumor has it the numbers are fake—City Health Council is manipulating budget revisions in Northbridge. I saw a circulating document.,1
a screenshot shared online claims City Health Council influenced school schedule changes in Kingswell; in a short statement.,1
several posts claims City Health Council influenced school schedule changes in Lakehurst; as part of routine operations.,1
"Everyone must read this: Westmere will ""collapse"" because of weather advisories. a forwarded message confirms it.",1
"Several posts claim Harbor Transport Authority in Redwood Bay changed cybersecurity drills on Jun 11, 2025; in a new report. The posts reference an audited report.",1
an unsourced thread claims Election Integrity Commission influenced budget revisions in Westmere; in a new report.,1
unverified accounts claims City Health Council influenced water quality reporting in Pineford; in a follow-up.,1
"[Jul 2, 2025] City Health Council published a summary for Pineford on school schedule changes based on a meeting transcript; in response to questions.",0
"[Sep 27, 2025] Metropolitan Utilities Agency in Northbridge released an audited report on public works projects; in a new report. It notes a revised eligibility rule for a small community grant program.",0
"Dec 3, 2025 — Harbor Transport Authority in Pineford clarified power grid maintenance. a minor reporting error corrected in the latest release.",0
several posts claims Public Safety Bureau influenced budget revisions in Kingswell; in response to questions.,1
"supposedly, Brighton Hollow may be hiding details about public works projects. Source: a screenshot shared online.",1
unverified accounts claims Civic Data Office influenced public works projects in Northbridge; according to an update.,1
"Institute of Materials Research in Eastport issued a meeting transcript about cybersecurity drills on Dec 3, 2025. The notice describes a minor reporting error corrected in the latest release.",0
A report shared online claims budget revisions in Lakehurst was manipulated by Center for Digital Trust; in a follow-up. It references a quarterly update without verification.,1
"Update from Transit Oversight Board in Northbridge (Jul 2, 2025): cybersecurity drills. a security exercise planned with no impact on public services. See a published dataset.",0
"[Jun 11, 2025] Public Safety Bureau in Eastport said a circulating claim about power grid maintenance is false; in a follow-up. It referenced a signed memo.",0
"Metropolitan Utilities Agency in Arbor City allegedly revised transport delays on Nov 18, 2025. A summary circulating online cites an internal bulletin, but no official link is provided.",1
"Harbor Transport Authority in Arbor City allegedly revised transport delays on Jul 2, 2025. A summary circulating online cites a recorded briefing, but no official link is provided.",1
"Election Integrity Commission in Northbridge allegedly revised weather advisories on Jun 11, 2025. A summary circulating online cites a public statement, but no official link is provided.",1
